股票代码,简称,销售商品提供劳务收到的现金(元),客户存款和同业存放款项净增加额(元),向中央银行借款净增加额(元),向其他金融机构拆入资金净增加额(元),收到原保险合同保费取得的现金(元),收到再保险业务现金净额(元),保户储金及投资款净增加额(元),处置交易性金融资产净增加额(元),收取利息、手续费及佣金的现金(元),拆入资金净增加额(元),回购业务资金净增加额(元),收到的税费返还(元),收到的其他与经营活动有关的现金(元),经营活动现金流入小计(元),购买商品接受劳务支付的现金(元),客户贷款及垫款净增加额(元),存放中央银行和同业款项净增加额(元),支付原保险合同赔付款项的现金(元),支付利息、手续费及佣金的现金(元),支付保单红利的现金(元),支付给职工以及为职工支付的现金(元),支付的各项税费(元),支付的其他与经营活动有关的现金(元),经营活动现金流出小计(元),经营活动现金流量净额(元),收回投资所收到的现金(元),取得投资收益所收到的现金(元),处置固定资产、无形资产和其他长期资产而收回的现金(元),收回投资所收到的现金中的出售子公司收到的现金(元),收到的其他与投资活动有关的现金(元),投资活动现金流入小计(元),购建固定资产、无形资产和其他长期资产所支付的现金(元),投资所支付的现金(元),质押贷款净增加额(元),取得子公司及其他营业单位支付的现金净额(元),支付的其他与投资活动有关的现金(元),投资活动现金流出小计(元),投资活动产生的现金流量净额(元),吸收投资所收到的现金(元),吸收投资所收到的现金中的子公司吸收少数股东权益性投资收到的现金(元),借款所收到的现金(元),发行债券所收到的现金(元),收到其他与筹资活动有关的现金(元),筹资活动现金流入小计(元),偿还债务所支付的现金(元),分配股利利润或偿付利息所支付的现金(元),分配股利利润或偿付利息所支付的现金中的支付少数股东的股利(元),支付的其他与筹资活动有关的现金(元),筹资活动现金流出小计(元),筹资活动产生的现金流量净额(元),汇率变动对现金的影响(元),现金及现金等价物净增加额(元),现金及现金等价物余额(元)
600718,东软集团,"7,735,400,303","0","0","0","0","0","0","0","0","0","0","123,223,573","324,570,537","8,183,194,413","3,892,658,197","0","0","0","0","0","2,956,845,862","484,457,633","545,381,189","7,879,342,881","303,851,532","3,680,500,000","74,995,334","38,315,863","0","30,343,128","3,851,961,362","489,300,713","3,524,235,058","0","14,812,656","7,652,904","4,036,001,331","-184,039,969","4,000,000","4,000,000","738,648,281","0","0","742,648,281","553,003,399","245,836,415","1,003,047","1,351,372","800,191,186","-57,542,905","4,659,448","66,928,106","2,155,127,451"
600719,大连热电,"866,774,099.77","0","0","0","0","0","0","0","0","0","0","0","23,945,269.57","890,719,369.34","454,432,636.09","0","0","0","0","0","59,132,557.03","12,871,763.32","17,005,018.39","543,441,974.83","347,277,394.51","0","0","127,160","0","0","127,160","44,574,935.87","0","0","0","0","44,574,935.87","-44,447,775.87","0","0","581,000,000","0","0","581,000,000","767,000,000","40,288,019.74","0","0","807,288,019.74","-226,288,019.74","0","76,541,598.9","125,480,442.87"
600720,祁连山,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600721,百花村,"1,338,321,528.16","0","0","0","0","0","0","0","0","0","0","0","16,359,383.03","1,354,680,911.19","725,543,966.7","0","0","0","0","0","259,771,216.27","168,596,982.09","194,137,131.15","1,348,049,296.21","6,631,614.98","0","3,886.8","1,385,625.12","0","0","1,389,511.92","172,816,757.43","0","0","0","18,406,621.2","191,223,378.63","-189,833,866.71","0","0","954,900,000","0","107,860,000","1,062,760,000","829,500,000","154,012,446.32","0","11,314,201.18","994,826,647.5","67,933,352.5","0","-115,268,899.23","102,021,534.78"
600722,金牛化工,"1,023,857,371.58","0","0","0","0","0","0","0","0","0","0","2,947,889.57","76,680,210.68","1,103,485,471.83","738,057,226.23","0","0","0","0","0","106,120,623","47,497,384.52","62,561,094.61","954,236,328.36","149,249,143.47","0","1,778,880","618,009.43","0","0","2,396,889.43","445,239,603.86","0","0","200,447,800","719,495.34","646,406,899.2","-644,010,009.77","0","0","1,056,000,000","0","0","1,056,000,000","619,328,333.34","59,584,203.59","0","0","678,912,536.93","377,087,463.07","-111,685.08","-117,785,088.31","534,968,646.85"
600723,首商股份,"13,702,575,673.52","0","0","0","0","0","0","0","0","0","0","0","913,944,423.37","14,616,520,096.89","10,920,388,699.53","0","0","0","0","0","870,248,595.86","669,733,934.92","1,679,574,836.84","14,139,946,067.15","476,574,029.74","0","0","979,404.78","0","0","5,329,660.4","750,906,833.79","0","0","0","0","750,906,833.79","-745,577,173.39","0","0","170,000,000","0","0","170,000,000","130,000,000","322,632,971.84","154,495,000","198,297.71","452,831,269.55","-282,831,269.55","-20,634.47","-551,855,047.67","3,573,751,906.56"
600724,宁波富达,"4,601,934,364.7","0","0","0","0","0","0","0","0","0","0","67,327,893.64","731,624,565.9","5,400,886,824.24","2,240,214,644.55","0","0","0","0","0","203,829,938.6","1,118,727,360.28","195,982,987.54","3,758,754,930.97","1,642,131,893.27","4,603,062.31","738,178.75","567,932.18","0","0","24,173,431.76","61,537,415.43","0","0","0","0","61,537,415.43","-37,363,983.67","0","0","4,198,000,000","0","311,111,589.04","4,509,111,589.04","5,601,392,298.86","781,826,617.04","56,653,606.67","182,407,808.32","6,565,626,724.22","-2,056,515,135.18","0","-451,747,225.58","2,322,755,099.25"
600725,云维股份,"6,807,428,492.29","0","0","0","0","0","0","0","0","0","0","4,333,301.72","34,394,682.69","6,846,156,476.7","5,237,341,740.9","0","0","0","0","0","417,271,933.92","302,628,004.96","106,408,018.61","6,063,649,698.39","782,506,778.31","0","255,762.95","82,000,000","0","0","854,698,358.64","563,695,543.07","0","0","25,817,800","528,290","590,041,633.07","264,656,725.57","22,720,000","22,720,000","4,892,209,063.89","0","1,668,625,686.54","6,583,554,750.43","4,977,701,063.89","539,039,901.97","21,127,924.03","1,596,306,083.01","7,113,047,048.87","-529,492,298.44","-92.26","517,671,113.18","1,921,884,852.62"
600726,华电能源,"12,483,845,536.38","0","0","0","0","0","0","0","0","0","0","9,486,165.6","140,372,980.17","12,633,704,682.15","7,815,584,223.38","0","0","0","0","0","1,256,900,303.71","1,132,973,828.12","126,325,456.91","10,331,783,812.12","2,301,920,870.03","179,669,046.76","34,974,200.02","3,975,890","0","0","218,619,136.78","1,337,202,644.89","0","0","60,910,000","0","1,398,112,644.89","-1,179,493,508.11","0","0","8,072,165,925.91","2,300,000,000","0","10,372,165,925.91","10,438,149,901.67","990,593,421.48","18,955,000","0","11,428,743,323.15","-1,056,577,397.24","0","65,849,964.68","2,339,261,246.07"
600727,鲁北化工,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
